"","zipcode","zcta","state","totalHH","enrollments","eligible_adj","eligible_adj_perc","HHEoE_adj","total_support"
"200","01151","01151","MA",3664,1219,2684.47850332981,73.266334697866,45.4091920828556,451973.85
"201","01201","01201","MA",19952,5622,12220.4996849828,61.2494972182377,46.0046654795026,2143503.2
"202","01220","01220","MA",3948,941,2829.53453473781,71.6700743347975,33.2563532428204,332019.59
"203","01222","01222","MA",289,43,67.8184042946478,23.466575880501,63.4046177394261,13438.65
"204","01223","01223","MA",1223,83,655.577908181596,53.6040807998034,12.6605852583136,30934.97
"205","01224","01224","MA",80,11,24.4899793286228,30.6124741607785,44.9163302769459,3689.99
"206","01225","01225","MA",1509,162,685.719421201439,45.4419762227594,23.6248230677443,52047.2
"207","01226","01226","MA",2907,387,1313.03966092693,45.1682029902625,29.4735956206228,129502.5
"208","01229","01229","MA",88,4,92.3083836232706,101,4.33330088015062,1210
"209","01230","01230","MA",3793,289,2042.0875070944,53.8383207776007,14.1521849086285,100374.9
"210","01235","01235","MA",1104,101,486.031897444976,44.0246283917551,20.7805291239006,32549.3
"211","01236","01236","MA",704,52,226.061347648826,32.1109868819355,23.0026055054662,15972.45
"212","01237","01237","MA",1019,114,405.026581204147,39.7474564479045,28.1463008331644,35898.93
"213","01238","01238","MA",2292,276,874.103877575461,38.1371674334843,31.5751945598906,86449.12
"214","01240","01240","MA",2158,143,810.053162408293,37.5372179058523,17.6531623646601,46877.37
"215","01242","01242","MA",93,10,81.0053162408293,87.1024905815369,12.3448687864756,3789.96
"216","01243","01243","MA",80,4,24.4899793286228,30.6124741607785,16.3332110097985,670
"217","01244","01244","MA",68,2,15.0707565099217,22.1628772204731,13.2707339454613,960
"218","01245","01245","MA",355,5,139.404497716776,39.2688725962749,3.58668485012467,1930
"219","01247","01247","MA",6527,2079,4232.99873472427,64.8536653090894,49.114118153296,772004.5
"220","01253","01253","MA",434,30,135.636808589296,31.2527208731096,22.1178899091021,12229.99
"221","01254","01254","MA",440,21,133.752964025555,30.398400914899,15.7005866397007,5710.71
"222","01255","01255","MA",309,27,113.030673824413,36.5795060920431,23.8873211018303,6859.93
"223","01256","01256","MA",330,15,186.500611810281,56.5153369122065,8.04286905785532,3629.27
"224","01257","01257","MA",1013,74,361.698156238122,35.705642274247,20.4590481659195,24016.23
"225","01258","01258","MA",77,3,13.1869119461815,17.1258596703656,22.7498296207908,1160
"226","01259","01259","MA",292,12,86.65684993205,29.677003401387,13.8477223778726,4100
"227","01260","01260","MA",81,7,0,0,101,2333.94
"228","01262","01262","MA",688,73,572.688747377026,83.2396435141026,12.7468891844562,26660.94
"229","01266","01266","MA",421,31,169.54601073662,40.2722115763942,18.2841223248578,8264.95
"230","01267","01267","MA",2541,226,1167.98362951893,45.9655108035787,19.3495862688661,74670.15
"231","01270","01270","MA",372,22,64.0507151671674,17.2179341847224,34.347781976488,9660
"232","01301","01301","MA",8190,1339,5214.48175243292,63.6688858660918,25.6784866372437,478999.02
"233","01330","01330","MA",704,55,284.460529124773,40.4063251597689,19.3348441589502,25119.98
"234","01331","01331","MA",5450,1530,3044.29281500419,55.8585837615448,50.2579775657321,524546.09
"235","01337","01337","MA",1007,85,412.561959459108,40.9694100753831,20.6029659427253,24696.88
"236","01338","01338","MA",63,7,0,0,101,2999.45
"237","01339","01339","MA",627,69,201.571368320203,32.148543591739,34.2310520462366,22864.92
"238","01340","01340","MA",797,68,339.092021473239,42.5460503730538,20.0535535175859,29774
"239","01341","01341","MA",730,39,77.2376271133489,10.5804968648423,50.4935242802917,9178.63
"240","01342","01342","MA",343,23,135.636808589296,39.5442590639346,16.9570489303116,6179.43
"241","01344","01344","MA",681,56,363.582000801862,53.389427430523,15.4023026102763,18327.83
"242","01346","01346","MA",180,25,39.5607358385446,21.9781865769692,63.1939711688632,10901.49
"243","01347","01347","MA",96,18,16.954601073662,17.6610427850645,101,4439.85
"244","01349","01349","MA",327,45,129.985274898075,39.7508485926835,34.6193059446816,14638.51
"245","01350","01350","MA",52,1,43.328424966025,83.3238941654327,2.30795372964544,660
"246","01351","01351","MA",1046,55,339.092021473239,32.4179752842485,16.2197859333416,16149
"247","01354","01354","MA",602,39,195.919834628983,32.5448230280702,19.9061009181919,13257.27
"248","01355","01355","MA",413,41,150.707565099217,36.4909358593747,27.2050045881956,17539.99
"249","01360","01360","MA",1213,66,374.885068184303,30.9056115568263,17.6053957869436,21721.97
"250","01364","01364","MA",3021,1051,1797.18771380817,59.4898283286384,58.4802573445694,361053.69
"251","01366","01366","MA",458,12,171.42985530036,37.4300994105589,6.99994757562793,3497.13
"252","01367","01367","MA",178,23,88.5406944957902,49.7419631998821,25.976755808137,9389.99
"253","01368","01368","MA",551,32,243.015948722488,44.1045278988182,13.1678600389073,8069.98
"254","01370","01370","MA",1694,139,778.02780482471,45.9284418432532,17.8656854084176,48878.63
"255","01373","01373","MA",2355,89,651.810219054115,27.6777163080304,13.6542811693185,26403.58
"256","01375","01375","MA",1666,96,928.735369923927,55.7464207637411,10.336636582266,30048.05
"257","01376","01376","MA",2312,372,1635.17708132651,70.7256523065099,22.7498296207908,133681.15
"258","01378","01378","MA",319,14,107.379140133192,33.6611724555462,13.0379140516813,3570
"259","01379","01379","MA",381,67,218.525969393865,57.3558974787048,30.6599715291692,28229.98
"260","01420","01420","MA",16383,3032,9392.84899480872,57.3328999255858,32.2798759106607,1001053.36
"261","01430","01430","MA",2141,121,597.178726705649,27.8925140918099,20.261940787392,41693.61
"262","01431","01431","MA",1297,47,280.692839997292,21.6416993058822,16.7442817566894,15652.47
"263","01432","01432","MA",3560,211,996.553774218575,27.9930835454656,21.1729668241386,67056.44
"264","01434","01434","MA",315,35,26.373823892363,8.37264250551208,101,9382.76
"265","01436","01436","MA",1262,111,617.901016906791,48.9620457136919,17.9640422920269,35384.11
"266","01438","01438","MA",124,7,41.4445804022848,33.42304871152,16.8900250214962,1660
"267","01440","01440","MA",8904,1323,5361.42162840466,60.2136301483003,24.6762909484825,425982.77
"268","01450","01450","MA",3820,113,1056.83680025826,27.6658848235147,10.6922847475018,35790.01
"269","01451","01451","MA",1668,59,307.066663889655,18.409272415447,19.2140687799317,22656.3
